Company Name,Job Title,Salary ($) /yr,Job Description,Rating,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Kyla Logo,Data Scientist,-1,"Job Category: Technical
Job Type: Full Time
Job Location: Remote
Team: AI
About Kyla
Kyla helps you live longer. First, Kyla collects your medical history, blood sample, and DNA. Then, Kyla AI analyzes your medical data to identify your top health risks, estimate your remaining lifetime, and give you simple, doctor-validated daily goals to increase your life expectancy. Finally, Kyla monitors your progress 24×7, diagnoses, and treats your conditions with the help of doctors.
Join our Kyla.com team of medical providers, product leaders, engineers, and AI scientists to grant people the power to understand their health from a new perspective in order to improve their life expectancy. Our ActionUrgentCare.com medical infrastructure consists of 14 Medical Clinics and a High Complexity Laboratory in California, USA, and has been in business for 10+ years. We’re working with Fortune 500 companies, schools, and individuals by the thousands and are rapidly growing.",3.5,Remote,3.5,-1,-1,-1,-1,-1
Spring Health Logo,Data Scientist II,-1,"Our mission: to eliminate every barrier to mental health.
Spring Health is a comprehensive mental health solution for employers and health plans. Unlike any other solution, we use clinically validated technology called Precision Mental Healthcare to pinpoint and deliver exactly what will work for each person — whether that's meditation, coaching, therapy, medication, and beyond.
Today, Spring Health equips over 800 companies, from start-ups to multinational Fortune 500 corporations, as a leading and preferred mental health service. Companies like J.P. Morgan Chase & Co., Microsoft, J.B. Hunt, Bumble, and Instacart use the Spring Health platform to provide mental health services to thousands of their team members globally. We have raised over $370 million from prominent investors including Kinnevik, Tiger Global, Northzone, RRE Ventures, and many more. Thanks to their partnership, our current valuation has reached $2.5 billion.",3.2,Remote,3.2,-1,-1,-1,-1,-1
Apple Logo,"Data Scientist, Software Programs",-1,"Summary

Posted: Dec 18, 2023

Weekly Hours: 40

Role Number:200525632

Imagine what you could do here. At Apple, new ideas have a way of becoming great products, services, and customer experiences very quickly. Bring passion and dedication to your job and there's no telling what you could accomplish! The System Quality team is seeking a data science engineer to help us improve software quality for iOS and macOS. We practice agile, fast-paced development that relies heavily on a tight relationship between Engineering and QA. We're looking for critical thinkers who would like to play a key role in developing new tools and processes for the SWE Programs group.



Key Qualifications







Description

On the System Quality team, we are responsible for performing ad hoc data analysis, development and maintenance of distributed data pipelines, and creation and support of analysis tools.



Education & Experience

BS/MS or equivalent experience.



Additional Requirements



Pay & Benefits",4.2,"Cupertino, CA",4.2,-1,-1,-1,-1,-1
UNKNOWN ,Data Scientist,-1,"Email at hr@dataxpander.com
They need to have statistical, mathematical, predictive modelling as well as business strategy skills to build the algorithms necessary to ask the right questions and find the right answers. They also need to be able to communicate their findings, orally and visually. They need to understand how the products are developed and even more important, as big data touches the privacy of consumers, they need to have a set of ethical responsibilities.",-1,"Irving, TX",-1,-1,-1,-1,-1,-1
Applanix Logo,Data Scientist,"$87,745","Data Scientist for Trimble Construction One Cross Sell & Product-Led Growth at Trimble
Overview:
Trimble is seeking a talented Data Scientist to spearhead our Cross Sell & Product-Led Growth (PLG) initiatives.
This role offers the chance to be at the intersection of data science and business strategy, using analytical prowess to drive product innovation and market success.
What is Product-Led Growth?
PLG is an innovative business methodology where the product itself is the main catalyst for customer acquisition, expansion, conversion, and retention. It emphasizes creating products so compelling that they self-promote.
76245
99245
No",4.2,"San Diego, CA",51 to 200 Employees,1991,Subsidiary or Business Segment,Aerospace & Defense,Aerospace & Defense,$25 to $100 million (USD)
Devfi Logo,Data Scientist,"$96,664","Write reusable code in Python; design and implement low-latency and high latency; integrate user-facing elements developed by server-side; develop Python code to generate XML files and upload to Windows Server; develop code in Django; develop ETL programs to apply transformations to the staged data and load it to the target schema in Vertica; develop Vertica DB with Python script; design traceability matric documents.

Mail res, salary reqmt, position applied for to: Devfi Inc., 4449 Easton Way, Suite 2038, Columbus, OH 43219.",4.9,"Columbus, OH",51 to 200 Employees,2012,Company - Private,Software Development,Information Technology,$5 to $25 million (USD)
Yum! Brands Logo,Data Scientist,"$122,500","As a CRM / Customer Engagement and Retention (CER) Data Analyst, you'll closely support the CER team in making data-driven decisions about marketing campaign execution. This position will own critical analyses and integration projects from beginning to end, including opportunity identification, problem scoping, analysis framing / execution, and synthesizing results to project stakeholders as well as internal leadership.
Analyze CRM & Loyalty campaigns to provide actionable recommendations to the CER team
Identify areas of opportunity based on Loyalty/CRM analytics, customer segmentations, deployment tactics and audience targeting



Bachelor's degree in computer science, marketing, databases, or a related field with 4+ years of experience working in analytics positions in performance-driven marketing, e-commerce, or consulting organizations.



Salary Range: $108,700 to $136,300 annually + bonus eligibility.


At Yum!, one of our core values is to Believe in ALL People. This means seeing the value in everyone and unlocking their full potential to be their best self. YUM! Brands, Inc. (including its subsidiaries Yum Restaurant Services Group, LLC (""YRSG"") and Yum Connect, LLC (""Yum Digital and Technology"")(collectively, ""Yum"") is proud to be an equal opportunity employer and is committed to equity, inclusion, and belonging for all dimensions of diversity. We do not discriminate based on race, color, religion, sex, sexual orientation, gender identity, national origin, veteran status, disability status, age, or any other protected characteristic. Yum! is committed to working with and providing reasonable accommodation to applicants with disabilities or special needs.",4.1,"Plano, TX",10000+ Employees,1997,Company - Public,Restaurants & Cafes,Restaurants & Food Service,$10+ billion (USD)
Virginia Department of Health Logo,"Statistical Analyst (Violent Death Data Abstractor, Floater)",$24.50,"Title: Statistical Analyst (Violent Death Data Abstractor, Floater)
State Role Title: Policy Planning Spec I
Hiring Range: $22.00- $27.00 /hr
Pay Band: 4
Agency: Virginia Department of Health
Location: CHIEF MEDICAL EXAMINER-CENTRAL
Agency Website: www.vdh.virginia.gov
Recruitment Type: General Public - G
Job Duties
The Violent Death Data Abstractor for the Office of the Chief Medical Examiner serves as the a surveillance data abstractor. Conducts data abstraction following established guidelines and performs decedent record review, abstracts information, and performs manual key entry of relevant information in NVDRS system. The Violent Death Data Abstractor participates in Data Quality Committee meetings and quality assurance activities including incident re-abstraction. Works with the Virginia Medical Examiner Data System (VMEDS) and OCME staff to identify cases for NVDRS. Reviews OCME case files and assures record is complete for abstraction. Travel may be required.

Typical Core Duties:
1. Data Management and Analysis
2. Quality Assurance & Other Duties

This position is open to candidates in the Western (Roanoke) or Central (Richmond) regions of the state. This position is 100% on site, without remote or telework options as records are located in each office.

Collects and analyzes data using a variety of established research methods,
procedures, statistical formulas and techniques. Verifies data for accuracy and
identifies trends, develops projections and prepares reports as directed or follows
established procedures. May lead other support staff on projects. Analyses are
performed to address a limited variety of applications. Frequent contact with other
staff as well as information sources and end users of data is required in order to
accurately collect data and to meet user needs

This is a restricted position, which is solely funded by the National Violent Death Reporting System grant
for a period ending September 30, 2027. The availability of funding is scheduled for review
before the grant expiration date and periodically thereafter. Continued employment is contingent on the continued availability
of funds.

Wage employees are subject to the following conditions of employment:
not eligible for benefits which are provided to salaried employees, such as leave credits, holiday pay,
insurance, access to the grievance procedure, etc.
29 hours per week on average over the course of a year. Wage employees may not work for VDH
beyond 1,500 hours during the period of May 1 – April 30 of the following year (the Standard
Measurement Period).
Period, the employee may be rehired as a wage employee of VDH only after the next Standard
Measurement Period has begun.
initiated, including those limited to State Employees Only.
retirement credit for the time worked as a wage employee.",3.5,"Richmond, VA",1001 to 5000 Employees,--,Government,State & Regional Agencies,Government & Public Administration,Unknown / Non-Applicable
UNKNOWN ,Data Scientist I,"$119,702","Contingent on award, Ampersand Solutions Group (AMPERSAND) has a requirement for one or more Data Scientist I who will support a critical DoD mission serving as a data subject matter expert (SME) designing, developing, and optimizing data driven solutions and applications.

Scope: Performs data mining; extending organization’s data with third party sources of information when required; enhancing data collection procedures to include information that is relevant for building analytic systems; processing, cleansing, and verifying the integrity of data used for analysis; conducting ad-hoc analysis and presenting results in a clear manner; creating automated anomaly detection systems and constant tracking of its performance. Candidate will understand machine learning (ML) techniques and algorithms; have experience with common data science toolkits, data visualization tools; proficient with query languages such as SQL; candidate will have applied statistics skills such as distributions; statistical testing, regression, etc; experience scripting and programming",-1,Redstone Arsenal,Unknown,--,Company - Public,--,--,Unknown / Non-Applicable
UNKNOWN ,Data Engineer/Scientist with an active Secret Clearance,$85.00,"This position is open for United States Citizens ONLY with an active Secret Clearance or higher.
Contract job directly with the candidates.
NOT C2C
What we’re looking for:
Someone with a solid background developing solutions for high volume, low latency applications and can operate in a fast paced, highly collaborative environment.
A candidate with distributed computer understanding and experience with SQL, Spark, ETL.",-1,"Washington, DC",1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable
UNKNOWN ,Data Scientist,-1,"Description:
Zen Strategics, a niche Cyber Security Firm, is looking for a Data Scientist
Requirements:
Proficiency with major data science tools and languages such as Python, R, NiFi, PostgreSQL/SQL, Spark, and Git
Demonstrated experience with cleaning, managing, optimizing performance with, and processing large volumes of data
Familiarity with industry best practices for software/hardware optimization when processing large data sets and offers experience in the following required task areas: experience with machine learning, statistical modeling and forecasting
Requirements:",4.0,Remote,4.0,-1,-1,-1,-1,-1
Arcfield Logo,Applied Mathematician / Data Analyst,"$75,336","Overview:
Arcfield is a leading provider of full lifecycle, mission-focused systems engineering and integration capabilities to the U.S. government and its allies. The company has more than 60 years of proven experience providing advanced engineering and analysis, IT and C5ISR capabilities to support our nation’s most critical national security missions. Headquartered in Chantilly, VA and with 16 offices around the world, Arcfield employs approximately 1,200 engineers, analysts, IT specialists, and other professionals who put our customers’ missions first, helping them solve their most complex challenges through innovations in modeling, simulation and analysis, digital transformation and C5ISR. Visit arcfield.com for more details.
Responsibilities:



Qualifications:
EEO Statement:",4.3,"King of Prussia, PA",1001 to 5000 Employees,2021,Company - Private,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD)
Global Partners Logo,Data Scientist,"$125,699","We're looking for someone who can help lead Data Science and Machine Learning at Global Partners! As a Data Scientist at Global Partners, you will play a crucial role in owning development of Data Science and Machine Learning models from our vast data sources and contributing to data-driven decision making.
You will collaborate with cross-functional teams to identify opportunities, build predictive models, and develop actionable recommendations. Your daily tasks may vary from mentoring data scientists and analysts, to developing dynamic pricing models, all while deploying systems in a cloud environment. You will also ensure that your findings are understandable to a wide range of stakeholders, from technical teams to business leaders.
Your expertise will guide the creation of sophisticated algorithms and complex analytical tools that forecast market trends, optimize operational processes, and drive strategic decision-making. By harnessing the latest in machine learning, from neural networks to decision trees, you will help us stay ahead of the curve in a dynamic marketplace. Your remit will include advancing our predictive capabilities, automating data-driven processes, and refining our approach to big data analytics.",3.3,"Waltham, MA",1001 to 5000 Employees,1933,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$10+ billion (USD)
Syncro Logo,Senior Data Scientist,"$181,500","At Syncro, we're on the lookout for collaborative individuals with diverse perspectives willing to bring their authentic selves to a culture that prioritizes the employee experience. We are a remote-first software company relentlessly focused on living our core values so that we can all enjoy the ride together. Take a moment to reflect on whether you resonate with our company's core values and culture. If you believe you're ready to embark on a journey of delivering incredible experiences as a part of the Syncro team, then dive into the job description below!
Core Values: At Syncro we believe that companies with a strong and inclusive culture perform better and provide a great working environment. If these values resonate with you, please consider applying!",4.0,United States,51 to 200 Employees,2017,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
Northwestern University Logo,Data Scientist,-1,"Northwestern University Libraries invites applications for a forward-thinking data scientist to help build its new Academic Innovation Work Group. With a focus on interdisciplinary research, including the humanities and social sciences, the successful candidate will work with researchers to understand the computational and analytical needs required to investigate the research questions underlying potential projects, to scope external and internal project opportunities, and to apply current computational and/or machine learning techniques to a range of topics and data types. In addition, they will instruct students and researchers on best practices in data science and digital scholarship in both formal and informal settings. Initially, this position will focus efforts on completing a grant from the Andrew W. Mellon Foundation, which applies machine learning techniques to understand contemporary film and literature and its relationship to the Anthropocene era. In this position, you will:",4.1,"Evanston, IL",4.1,-1,-1,-1,-1,-1
Nexio Logo,Data Analyst,"$60,000","Data Analyst
Description
Nexio is a payment services company quickly emerging as a leader in global commerce. We have built a technology platform that aims to simplify the chaos of payments.
The vision of our data department is to seek out this chaos and make sense of it. We are looking for a clever and enthusiastic data analyst to join our team.
Benefits:
Stellar Health and Dental
Unlimited PTO",4.1,"Orem, UT",1001 to 5000 Employees,1995,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD)
GM Financial Logo,AVP Cloud Data Analytics Architecture,"$187,000","Overview:
This position will be posted until filled.

This AVP Cloud Data Analytics Architecture will lead the cloud data architecture team and help scale the Data and Analytics organization globally. As an experienced cloud data architect, this role work with the business to gather data and analytical requirements; design, develop and deploy Enterprise Cloud Data solutions; integrate data from disparate sources to load to the cloud, hybrid and multi-cloud; design, develop and monitor processes to transfer data between cloud systems and/or external vendors; collaborate with technical leaders to define api-first, web services, event based processes to maintain accuracy, lineage, metadata, integrity and efficiency of data across multiple levels of curation and consumption; provide data modeling standards, frameworks and templates to support the business; organize, catalog and define enterprise data to support AI, Machine Learning, Data Science and Reporting. The AVP will have hands-on experience in cloud data architecture to support Advanced Analytics in Azure, Databricks, APIs, microservices, and event driven architecture. The AVP will ensure the cloud, data, Machine Learning and AI platform is scalable and secure to meet future growth and requirements of business domains. The AVP will ensure the data and analytics platform is scalable and secure to meet our future growth and requirements of business domains. The AVP will have a passion for building agile teams that effectively plan/execute work and collaborate with broader cross-functional teams to successfully deliver mission-critical projects. The AVP will build partnerships with other cloud data architects, cloud architects, team members, and vendors to scale our global data and analytics architecture and capabilities across the enterprise.
Responsibilities:
Salary: The base salary range for this role is: USD $129,000.00 to $245,000.00. At GM Financial, we strive for transparency in all aspects of our business, including pay equity. This is the GM Financial pay range for this role and job level. The exact salary and compensation will vary based on factors like knowledge, skills, experience, and education. This role is eligible to participate in a performance-based incentive plan. Full time employees are eligible to participate in health benefits on day one of employment.",3.8,Remote,5001 to 10000 Employees,1992,Company - Public,Banking & Lending,Financial Services,$5 to $10 billion (USD)
Soar Technology Logo,Artificial Intelligence Research Scientist,"$99,318","About Us
At SoarTech, our focus is in the development of artificial intelligence (AI) that reasons like humans do, to automate complex tasks, simplify human-machine interactions, or model human behaviors. Our philosophy is three-fold: to be an augmentation to, not a replacement of, the human; to think “top-down, not bottom-up;” and to be transparent so that decisions and processing are communicated to the human and in human-like terms. SoarTech is growing and we are looking for individuals interested in helping research, develop, and implement this exciting technology into everyday operations.
Job Description:
SoarTech is currently looking for full-time Research Scientists/Principal Investigators (PIs) to lead research, development and transition activities in the areas of artificial intelligence, human behavior modeling, natural language processing, machine learning, multi-agent systems, deep learning, agent-based social simulation, data analytics, intelligent user interfaces, complex adaptive systems, decision support systems, learning science, learning technologies, augmented reality, virtual reality, simulation, robotics, data fusion, and/or game development.",2.8,"Orlando, FL",1 to 50 Employees,--,Company - Private,Computer Hardware Development,Information Technology,$5 to $25 million (USD)
ISSAC LLC Logo,Data Scientist,"$112,500","Top Benefits:
ISSAC offers competitive salaries, Medical, Dental, Vision and Life Insurance. We also have generous PTO, federal holidays off, education assistance, 401K program and profit sharing.


Job Description: Seeking a mid-level data scientist to help develop and deploy a new type of database to aid a large-scale data fabric effort. You will be supporting the development of new machine learning and machine reasoning algorithms and software for AI. You will be helping customers exploit their data in novel ways by producing novel algorithms, software, and solutions.",4.2,"Huntsville, AL",1 to 50 Employees,--,Company - Public,--,--,Unknown / Non-Applicable
"The Kenjya-Trusant Group, LLC Logo",(PMSS) Data Scientist IV,"$130,510","Clearance Required: Secret (must be eligible for Top Secret Clearance)

Job Description:
The Kenjya-Trusant Group, LLC is seeking a candidate to fill the role of Data Scientist in support of Department of State (DOS)/Diplomatic Security contract. This contract provides support to DOS with Business Process Improvement, Organizational Change Management, Policy Support, Program and Communication Management, and Special Projects.",3.7,"Washington, DC",201 to 500 Employees,2002,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD)
Fractal Analytics Logo,Data Scientist,-1,"It's fun to work in a company where people truly BELIEVE in what they are doing!
We're committed to bringing passion and customer focus to the business.
Fractal Analytics is a strategic AI partner to Fortune 500 companies with a vision to power every human decision in the enterprise. Fractal is building a world where individual choices, freedom, and diversity are the greatest assets. An ecosystem where human imagination is at the heart of every decision. Where no possibility is written off, only challenged to get better. We believe that a true Fractalite empowers imagination with intelligence. And that it will be such Fractalites that will continue to build the company for the next 100 years.
Please visit
Fractal | Intelligence for Imagination
for more information about Fractal.",4.1,California,4.1,-1,-1,-1,-1,-1
QVine Corporation Logo,Data Scientist,"$118,770","The Data Scientist handles raw data (e.g. structured, unstructured, and mixed datasets), and analyzes data through the application of various statistical techniques or tools.
KNOWLEDGE, SKILLS, AND ABILITIES:
The successful candidate should have at least one and preferable more than one of the following skills:
Familiar with programming languages such as, but not limited to: R, SAS, Python, MatLab, SQL, Hive, Pig, and Spark.
Experienced in working with and exploiting big data; distributed computing; predictive modelling; mathematics; statistics; machine learning; story-telling; and visualization.",3.9,"Washington, DC",51 to 200 Employees,--,Company - Private,Computer Hardware Development,Information Technology,$5 to $25 million (USD)
UNKNOWN ,Data Scientist/Machine Learning Engineer(W2 Only),$61.50,"Data Scientist I
12+ Months
Hybrid in Oceanside, CA
W2 Only
Description
Top 3 desired skills/traits:
ML ops.
ML model lifecycle management.
Code optimization.
Data Science plays a key role in transforming vast amounts of structured and unstructured data into insights, building predictive analytics and machine learning (ML) models for complex business problems that enable the organization in data-driven decision making.",-1,"Oceanside, CA",-1,-1,-1,-1,-1,-1
Reveal Biosciences Logo,Data Scientist - Computational Pathology,"$111,079","At Reveal, we believe that data matters. Help us use the power of data to innovate the field of pathology and improve global healthcare. Our proprietary deep learning-based platform, imageDx™, delivers scientists and pathologists a novel class of actionable, quantitative data to accelerate research and enhance patient care.
We are seeking an enthusiastic and talented data scientist to join our computational pathology team. The successful candidate will be a key member of the team developing new technical approaches for our computer assisted diagnosis digital pathology products. This is an excellent opportunity to work on challenging, interesting projects with great potential for significant societal impact.
The successful candidate will enjoy working in a highly collaborative environment developing cutting edge products. Excellent communication and creative problem solving skills are required. Previous experience in digital pathology, high content screening or large biomedical image sets is a plus.",4.8,"San Diego, CA",Unknown,--,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable
Popular Community Bank Logo,Data Scientist,-1,"At Popular, we offer a wide variety of services and financial solutions to serve our communities in Puerto Rico, United States & Virgin Islands. As employees, we are dedicated to making our customers dreams come true by offering financial solutions in each stage of their life. Our extensive trajectory demonstrates the resiliency and determination of our employees to innovate, reach for the right solutions and strongly support the communities we serve; therefore, we value their diverse skills, experiences and backgrounds.

Are you ready for a rewarding career?
Over 8,000 people in Puerto Rico, United States and Virgin Islands work at Popular.",3.7,United States,3.7,-1,-1,-1,-1,-1
"Technology Solutions Provider, Inc. Logo",Data Scientist,-1,"TSPi Position Description
TSPi is a leading-edge and trusted IT solutions provider to multiple government agencies. Using our technological expertise and industry specific knowledge, we offer our clients end-to-end solutions to address their specific challenges. We are looking for a Data Scientist with an entrepreneur’s mindset to support a fast-paced and growing data science team working on projects critical to farming, conservation and environmental government missions.
The Data Scientist will be expected to build statistical models, test hypotheses, interpret, summarize, visualize, and succinctly report on data findings. The Data Scientist will perform research on various data sources, to include unstructured data using quantitative and qualitative content analytics. The Scientist will construct and perform complex database search queries in multiple databases using SQL and API interfaces. The Scientist will perform web scraping and apply various techniques for processing unstructured data. The Scientist will leverage automation and machine learning to manage data, predict scenarios and make recommendations. The Data Scientist will contribute to building new analytical tools and packages across the enterprise and will be expected to collaborate with team members in a highly technical environment. The Data Scientist will be expected to learn and leverage emerging technologies.",4.6,Remote,4.6,-1,-1,-1,-1,-1
FDA Logo,Data Scientist,"$112,015","This position is being filled under a stream-lined hiring authority, Title 21, Section 3072 of the 21st Century Cures Act.
The candidate selected for this position will serve under a career or career-conditional appointment and be paid under the provisions of this authority. Additional information on 21st Century Cures Act can be found here:
21st Century Cures Act Information
Introduction
The Food and Drug Administration (FDA or Agency) is the regulatory, scientific, public health and consumer protection agency responsible for ensuring all human and animal drugs, medical devices, cosmetics, foods, food additives, drugs and medicated feeds for food producing animals, tobacco and radiation emitting devices safe, and effective.",4.1,"Silver Spring, MD",10000+ Employees,1936,Government,National Agencies,Government & Public Administration,$10+ billion (USD)
Q² Solutions Logo,Genomics Data Scientist - Hybrid,-1,"We are seeking a Genomics Data Scientist to join Q² Solutions, IQVIA’s laboratory business in Durham, NC as a Hybrid position.
We hire passionate innovators who drive healthcare forward through thoughtful and inclusive collaboration. If you want to discover a career with greater purpose, join us as we transform and accelerate research and development.
As a Genomics Data Scientist, you will assist in managing project data delivery timelines, formatting of custom delivery files, verification of regulated study data, supporting multiple delivery methods and aiding in the development of custom formatting software (e.g., Tableau, Python, etc.). You will be assisting in/leading the development of complex Python/SQL queries to support genomics data activities and helping to develop automation scripting and Application Program Interfaces (APIs) to support project streamlining as the team continues to develop its practices around data standardization and automation.
The potential base pay range for this role, when annualized, is $80,500.00 - $120,800.00. The actual base pay offered may vary based on a number of factors including job-related qualifications such as knowledge, skills, education, and experience; location; and/or schedule (full or part-time). Dependent on the position offered, incentive plans, bonuses, and/or other forms of compensation may be offered, in addition to a range of health and welfare and/or other benefits.",3.0,United States,3.0,-1,-1,-1,-1,-1
TikTok Logo,"Senior Data Scientist, Analytics - TikTok","$298,140","Responsibilities
TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo.

Why Join Us
Creation is the core of TikTok's purpose. Our platform is built to help imaginations thrive. This is doubly true of the teams that make TikTok possible.
Together, we inspire creativity and bring joy - a mission we all believe in and aim towards achieving every day.
To us, every challenge, no matter how difficult, is an opportunity; to learn, to innovate, and to grow as one team. Status quo? Never. Courage? Always.
At TikTok, we create together and grow together. That's how we drive impact - for ourselves, our company, and the communities we serve.
Join us.

TikTok-Data Science team is responsible for all data science and analytics related work, cooperating with all key value chains in TikTok, including User Growth, PGC, Content Ecosystem, Social, Creation, Product Infrastructure, Research and Science etc. The goal of the team is to generate actionable insights from data and help the stakeholders to make the right decisions. Our main tasks include metrics defining, root cause analysis, experimentation methodology, feature/strategy evaluation and exploratory analysis to find more opportunities.


The primary role of a Senior Data Scientist for our Data team is to conduct deep analysis into user behavior, product features and content ecosystem to generate business insights that could be applied to actionable improving initiatives. You will work closely with cross-function teams, such as Product Management, Research and Development, Machine Learning Engineering, to improve user experience and fulfill growth of TikTok in all different regions.

Responsibilities - What You'II Do
Qualifications
TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.

TikTok is committed to providing reasonable accommodations in our recruitment processes for candidates with disabilities, pregnancy, sincerely held religious beliefs or other reasons protected by applicable laws. If you need assistance or a reasonable accommodation, please reach out to us at gprd.accommodations@tiktok.com.
Job Information
The base salary range for this position in the selected city is $201000 - $395280 annually.



Compensation may vary outside of this range depending on a number of factors, including a candidate’s qualifications, skills, competencies and experience, and location. Base pay is one part of the Total Package that is provided to compensate and recognize employees for their work, and this role may be eligible for additional discretionary bonuses/incentives, and restricted stock units.



Our company benefits are designed to convey company culture and values, to create an efficient and inspiring work environment, and to support our employees to give their best in both work and life. We offer the following benefits to eligible employees:



We cover 100% premium coverage for employee medical insurance, approximately 75% premium coverage for dependents and offer a Health Savings Account(HSA) with a company match. As well as Dental, Vision, Short/Long term Disability, Basic Life, Voluntary Life and AD&D insurance plans. In addition to Flexible Spending Account(FSA) Options like Health Care, Limited Purpose and Dependent Care.



10 paid holidays per year plus 17 days of Paid Personal Time Off (PPTO) (prorated upon hire and increased by tenure) and 10 paid sick days per year as well as 12 weeks of paid Parental leave and 8 weeks of paid Supplemental Disability.



We also provide generous benefits like mental and emotional health benefits through our EAP and Lyra. A 401K company match, gym and cellphone service reimbursements. The Company reserves the right to modify or change these benefits programs at any time, with or without notice.",3.4,"San Jose, CA",1001 to 5000 Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
"Frontier Airlines, Inc Logo","Analyst II, Ancillary Revenue Data Scientist",-1,"What Will You Be Doing?
The Analyst II, Ancillary Revenue Data Scientist will develop and apply statistical modeling and data science as well as product management techniques to advance Ancillary revenue performance. As an integral part of the Revenue Management team, the Analyst II will own the code development of new analytical products and new models, and will work with internal stakeholders and external partners to achieve rapid evolution in customer-centric, customized offers and business process. You will be joining a data-led and high-profile team; a great way to leverage your experience with data to drive results!
Essential Functions",3.3,"Denver, CO",3.3,-1,-1,-1,-1,-1
Hypersonix Logo,Senior Data Scientist - Demand Forecasting,-1,"Hypersonix.ai is disrupting the e-commerce space with AI, ML and advanced decision capabilities to drive real-time business insights. Hypersonix.ai has been built ground up with new age technology to simplify the consumption of data for our customers in various industry verticals.
Position Overview: We are looking for a motivated Senior Data Scientist who excels in demand forecasting and inventory optimization. The successful candidate will play a crucial role in enhancing our supply chain ML models by developing advanced forecasting models, implementing inventory optimization strategies, and collaborating with cross-functional teams.
Responsibilities:",5.0,"San Jose, CA",5.0,-1,-1,-1,-1,-1
Atlassian Logo,Data Scientist,"$145,857","Overview:
You’ll be part of a central data science at Atlassian, responsible for ensuring metrics consistency between operational teams and executive level business reporting. You’ll work with stakeholders across the business to help them move quickly and transparently.
Responsibilities:
Collaborate on a variety of product and business problems with a diverse set of cross-functional partners and become a trusted strategic partner through the structure and clarity of your work.
Apply technical expertise with quantitative analysis, experimentation, and the presentation of data to develop strategies for our business and help solve the business's biggest challenges.
Qualifications:",4.1,"San Francisco, CA",5001 to 10000 Employees,2002,Company - Public,Software Development,Information Technology,Unknown / Non-Applicable
Zebra Technologies Logo,"Data Scientist, Advanced","$147,100","Remote Work: Hybrid

Overview:
At Zebra, we extend the edge of possibility by shaping the future of work on the front line—reinventing how businesses run and moving society forward.

We are a community of changemakers, innovators and doers who come together to deliver a performance edge to the front line of business. We develop new technologies and create new solutions with partners to help organizations act with greater visibility, connectivity, and intelligence—delivering better experiences for workers and those they serve.",4.1,"Lincolnshire, IL",5001 to 10000 Employees,1969,Company - Public,Computer Hardware Development,Information Technology,$1 to $5 billion (USD)
Spero LLC Logo,Project Engineer Data Manager Data Scientist,$65.00,"Project Engineer (Data Manager/Data Scientist) Part Time – Houston Remote

Part Time Position – minimum 8 hours a week up to 20 hours a week. Expected 2-3 hours a day + weekend hours if needed



The primary responsibility of this role is to extract meaningful insights from complex datasets, present this data to help guide the project in data-driven decision making, and to contribute to the development of data-driven product and solutions.",3.8,Remote,1 to 50 Employees,2012,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,$5 to $25 million (USD)
EXOS Logo,Sr. Data Analyst (Research),-1,"Job Summary:
If you enjoy research, managing and exploring data, and making new discoveries within an applied environment, come join the Exos Human Performance Lab (HPL)! The HPL works on both internal and external projects, with our customers including a broad range of disciplines across both internal and external stakeholders. The Senior Data Analyst will enable efficient data-driven operations and will foster a data-centric environment.

This role will leverage knowledge, problem-solving skills, and a passion for research and analytics to inform the evolution of our data strategy and analytics functional unit and keep our operations running as efficiently as possible. The ideal candidate should have a strong ability to combine technical expertise with entrepreneurial spirit to evaluate study outcomes, provide meaningful insights, and create compelling stories and/or visualizations for non-technical audiences. This is an onsite role, based out of our Phoenix, AZ headquarters, reporting to the Vice President of Research.",3.5,"Phoenix, AZ",3.5,-1,-1,-1,-1,-1
